GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sakila,com.example.sakila.controllers,CategoryController,13,0,0,0,3,0,3,0,3,0
sakila,com.example.sakila.controllers,FilmController,57,0,0,0,13,0,11,0,11,0
sakila,com.example.sakila.controllers,ActorController,49,11,0,0,12,2,9,2,9,2
sakila,com.example.sakila.controllers,LanguageController,20,0,0,0,4,0,4,0,4,0
sakila,com.example.sakila.entities,Film,55,0,0,0,10,0,13,0,13,0
sakila,com.example.sakila.entities,Language,12,0,0,0,4,0,4,0,4,0
sakila,com.example.sakila.entities,PartialCategory,17,0,0,0,4,0,5,0,5,0
sakila,com.example.sakila.entities,Actor,30,26,0,0,4,4,7,3,7,3
sakila,com.example.sakila.entities,PartialActor,24,0,0,0,5,0,7,0,7,0
sakila,com.example.sakila.entities,Category,17,0,0,0,5,0,4,0,4,0
sakila,com.example.sakila.entities,PartialFilm,31,0,0,0,6,0,9,0,9,0
sakila,com.example.sakila.services,CategoryService,36,0,2,0,8,0,6,0,5,0
sakila,com.example.sakila.services,ActorService,302,0,20,0,72,0,28,0,18,0
sakila,com.example.sakila.services,FilmService,441,0,30,0,99,0,33,0,18,0
sakila,com.example.sakila,SakilaApplication,8,0,0,0,3,0,2,0,2,0
sakila,com.example.sakila.input,ActorInput,115,0,22,0,3,0,20,0,9,0
sakila,com.example.sakila.input,LanguageInput,33,0,6,0,1,0,8,0,5,0
sakila,com.example.sakila.input,FilmActorsInput,76,0,14,0,2,0,14,0,7,0
sakila,com.example.sakila.input,FilmInput,196,0,38,0,5,0,32,0,13,0
sakila,com.example.sakila.input,ActorFilmsInput,76,0,14,0,2,0,14,0,7,0
